epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.805,1.82562,2.74277,1.46247,0.20512,0.36771,0.23025,0.12616,1.63933,2.81641,1.33444,0.000411985,0.000411985,0.000411985
2,699.412,1.48086,2.01197,1.27924,0.72315,0.24771,0.19187,0.11065,1.449,2.54404,1.32777,0.000812244,0.000812244,0.000812244
3,1036.97,1.45792,1.99215,1.29989,0.17662,0.23028,0.13634,0.07909,1.47479,2.36591,1.36197,0.001196,0.001196,0.001196
4,1644.6,1.41878,1.86339,1.27455,0.55507,0.2515,0.20764,0.13021,1.30021,1.91806,1.26763,0.00117575,0.00117575,0.00117575
5,1981.03,1.40453,1.80272,1.27995,0.65426,0.21957,0.2169,0.13243,1.42442,1.78984,1.29511,0.001151,0.001151,0.001151
6,3275.15,1.39353,1.79212,1.27568,0.66853,0.21815,0.20748,0.14413,1.33769,1.72852,1.25285,0.00112625,0.00112625,0.00112625
7,3746.52,1.36942,1.72754,1.27519,0.65675,0.21815,0.22516,0.13421,1.3611,1.87606,1.27499,0.0011015,0.0011015,0.0011015
8,4023.65,1.33138,1.70235,1.24634,0.32533,0.31195,0.2355,0.1583,1.25914,1.76148,1.22945,0.00107675,0.00107675,0.00107675
9,4259.02,1.31057,1.69503,1.25674,0.5657,0.25668,0.25834,0.17191,1.27223,1.62286,1.26527,0.001052,0.001052,0.001052
10,4536,1.31979,1.64326,1.24798,0.44634,0.19848,0.19645,0.13487,1.31601,1.78363,1.25211,0.00102725,0.00102725,0.00102725
11,4777.73,1.30731,1.65567,1.2509,0.44808,0.43124,0.33657,0.20703,1.26204,1.69767,1.25985,0.0010025,0.0010025,0.0010025
12,5036.96,1.29005,1.68602,1.23451,0.30981,0.34385,0.24939,0.16585,1.17545,1.53994,1.20974,0.00097775,0.00097775,0.00097775
13,5302.49,1.28056,1.59253,1.23637,0.28696,0.38636,0.22978,0.14057,1.33872,1.70417,1.29886,0.000953,0.000953,0.000953
14,5529.05,1.26666,1.57634,1.21056,0.42208,0.40758,0.27261,0.18551,1.25527,1.60674,1.25193,0.00092825,0.00092825,0.00092825
15,5783.14,1.25696,1.60727,1.20682,0.55276,0.40248,0.42934,0.25545,1.33873,1.60947,1.28285,0.0009035,0.0009035,0.0009035
16,6017.87,1.24409,1.57235,1.2203,0.41197,0.29276,0.24663,0.16437,1.23776,1.63284,1.2486,0.00087875,0.00087875,0.00087875
17,6254.21,1.2821,1.62526,1.22332,0.4347,0.49113,0.44828,0.30813,1.27734,1.53459,1.26709,0.000854,0.000854,0.000854
18,6491.67,1.24876,1.5662,1.1854,0.45595,0.52609,0.45902,0.30307,1.23592,1.49972,1.24812,0.00082925,0.00082925,0.00082925
19,6735.52,1.23465,1.53863,1.19411,0.4597,0.44961,0.35992,0.2453,1.26359,1.60948,1.22832,0.0008045,0.0008045,0.0008045
20,6960.08,1.22037,1.51442,1.18021,0.46434,0.31745,0.29376,0.19757,1.19979,1.52002,1.21304,0.00077975,0.00077975,0.00077975
21,7206,1.20645,1.45348,1.17342,0.48769,0.40554,0.35248,0.23684,1.16852,1.43055,1.20847,0.000755,0.000755,0.000755
22,7470.78,1.21092,1.47074,1.18337,0.44866,0.38911,0.33862,0.22553,1.26471,1.55034,1.26085,0.00073025,0.00073025,0.00073025
23,7735.84,1.20115,1.48538,1.18714,0.46031,0.45402,0.4082,0.26444,1.26673,1.4976,1.26551,0.0007055,0.0007055,0.0007055
24,8039.22,1.18293,1.46444,1.15811,0.46703,0.3691,0.36279,0.23519,1.2556,1.46407,1.24242,0.00068075,0.00068075,0.00068075
25,8370.51,1.18846,1.46527,1.17835,0.50405,0.30034,0.29926,0.21073,1.22204,1.45606,1.24309,0.000656,0.000656,0.000656
26,8663.39,1.18203,1.47293,1.18493,0.49568,0.54842,0.494,0.32855,1.19995,1.43977,1.20965,0.00063125,0.00063125,0.00063125
27,8912.02,1.15981,1.42087,1.15748,0.44685,0.57386,0.4512,0.30058,1.1844,1.51758,1.21344,0.0006065,0.0006065,0.0006065
28,9151.59,1.13933,1.40236,1.15616,0.46705,0.53465,0.506,0.33303,1.2587,1.41439,1.23098,0.00058175,0.00058175,0.00058175
29,9397,1.16638,1.44019,1.15535,0.5635,0.46498,0.49068,0.32095,1.1756,1.38486,1.20188,0.000557,0.000557,0.000557
30,9643.16,1.16143,1.40378,1.15557,0.69211,0.44856,0.42307,0.276,1.28592,1.44007,1.24741,0.00053225,0.00053225,0.00053225
31,9922.76,1.14129,1.41154,1.14971,0.34545,0.22841,0.1927,0.13195,1.17619,1.43034,1.21107,0.0005075,0.0005075,0.0005075
32,10195.6,1.12127,1.35399,1.15389,0.5672,0.3233,0.3397,0.24506,1.17805,1.35897,1.20803,0.00048275,0.00048275,0.00048275
33,10458,1.13155,1.36904,1.14445,0.50369,0.57134,0.47036,0.31058,1.17034,1.36447,1.19751,0.000458,0.000458,0.000458
34,10792.7,1.13861,1.36104,1.15174,0.45854,0.45722,0.38302,0.25635,1.20486,1.37044,1.21988,0.00043325,0.00043325,0.00043325
35,11110.3,1.14723,1.34361,1.14078,0.52926,0.59112,0.50813,0.32239,1.21633,1.44556,1.2101,0.0004085,0.0004085,0.0004085
36,11400.3,1.09591,1.3365,1.12466,0.58534,0.51247,0.47823,0.31167,1.20472,1.37025,1.21461,0.00038375,0.00038375,0.00038375
37,11700.3,1.10309,1.3261,1.14924,0.55504,0.38832,0.39506,0.27098,1.21673,1.3806,1.23487,0.000359,0.000359,0.000359
38,12013,1.10616,1.33793,1.13824,0.50384,0.50552,0.48236,0.31205,1.20399,1.3808,1.1948,0.00033425,0.00033425,0.00033425
