epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.704,1.78745,2.87001,1.80044,0.41483,0.23319,0.19229,0.09172,1.58187,2.44941,1.79243,0.0670419,0.000165618,0.000165618
2,260.063,1.5553,2.22352,1.66572,0.7449,0.28886,0.2449,0.13358,1.44538,2.21839,1.66001,0.0338752,0.000332204,0.000332204
3,392.172,1.50191,2.17289,1.67587,0.68817,0.31681,0.26998,0.12729,1.75466,2.17393,1.87525,0.000708108,0.000498464,0.000498464
4,527.719,1.45674,2.08411,1.64099,0.75863,0.28738,0.25403,0.13044,1.54507,2.38712,1.85513,0.000498902,0.000498902,0.000498902
5,664.873,1.46205,2.03083,1.66801,0.71186,0.32712,0.3087,0.15879,1.55248,2.08142,1.81846,0.000498048,0.000498048,0.000498048
6,803.165,1.40644,1.98395,1.60598,0.29308,0.45455,0.32336,0.18039,1.45338,1.95502,1.69714,0.000496953,0.000496953,0.000496953
7,945.8,1.38943,1.92234,1.59077,0.56749,0.43654,0.35745,0.20381,1.43751,1.83432,1.74205,0.000495616,0.000495616,0.000495616
8,1086.72,1.37219,1.88886,1.5789,0.63974,0.43622,0.37473,0.1911,1.63822,1.96953,1.85577,0.000494039,0.000494039,0.000494039
9,1221.95,1.38456,1.88425,1.6049,0.64003,0.45455,0.38824,0.22781,1.30828,1.80545,1.67446,0.000492224,0.000492224,0.000492224
10,1360.73,1.35414,1.82889,1.58209,0.61068,0.45791,0.37755,0.21305,1.38884,1.78872,1.76827,0.000490173,0.000490173,0.000490173
11,1496.18,1.32445,1.80154,1.54011,0.59068,0.42543,0.36385,0.21502,1.36184,1.76357,1.63053,0.000487886,0.000487886,0.000487886
12,1632.19,1.33071,1.7612,1.55902,0.62972,0.44596,0.40275,0.24022,1.25449,1.69251,1.66174,0.000485368,0.000485368,0.000485368
13,1769.91,1.30698,1.76222,1.55257,0.3749,0.52197,0.40347,0.25476,1.25399,1.73214,1.6504,0.00048262,0.00048262,0.00048262
14,1906.45,1.32809,1.79187,1.57602,0.58868,0.44803,0.35721,0.20057,1.45538,1.75982,1.80753,0.000479644,0.000479644,0.000479644
15,2042.75,1.33236,1.79112,1.56954,0.64758,0.47085,0.38469,0.22501,1.37135,1.8242,1.69341,0.000476445,0.000476445,0.000476445
16,2178.34,1.32736,1.76324,1.55329,0.52138,0.51155,0.43428,0.25854,1.42234,1.68004,1.77734,0.000473024,0.000473024,0.000473024
17,2319.6,1.29252,1.71613,1.52713,0.63965,0.42834,0.42024,0.257,1.25114,1.73389,1.62223,0.000469386,0.000469386,0.000469386
18,2456.6,1.31151,1.68101,1.53346,0.38749,0.50829,0.41444,0.26346,1.2887,1.59542,1.65134,0.000465534,0.000465534,0.000465534
19,2593.25,1.2872,1.67415,1.51368,0.62477,0.51266,0.43849,0.25973,1.33444,1.6551,1.67269,0.000461471,0.000461471,0.000461471
20,2728.64,1.26669,1.67087,1.524,0.33755,0.53871,0.44177,0.27132,1.21441,1.65319,1.6684,0.000457202,0.000457202,0.000457202
21,2865.3,1.27649,1.67365,1.52774,0.29006,0.53572,0.43116,0.26287,1.24095,1.6649,1.63451,0.000452732,0.000452732,0.000452732
22,3001.02,1.21256,1.64085,1.48126,0.57009,0.52357,0.41942,0.25512,1.26257,1.64409,1.65236,0.000448063,0.000448063,0.000448063
23,3136.48,1.23815,1.5715,1.49689,0.6497,0.46907,0.45698,0.29459,1.21109,1.61354,1.61393,0.000443202,0.000443202,0.000443202
24,3273.1,1.24119,1.61348,1.50573,0.44179,0.55547,0.46348,0.3017,1.20327,1.69518,1.63,0.000438152,0.000438152,0.000438152
25,3410.25,1.29162,1.60298,1.56522,0.51656,0.64824,0.50366,0.31596,1.20407,1.49973,1.63173,0.00043292,0.00043292,0.00043292
26,3547.38,1.25304,1.61612,1.50945,0.64972,0.51382,0.43717,0.25789,1.33013,1.64004,1.70182,0.000427509,0.000427509,0.000427509
27,3681.52,1.23184,1.55412,1.49037,0.47681,0.54342,0.49104,0.31269,1.16868,1.51825,1.60337,0.000421925,0.000421925,0.000421925
28,3817.39,1.25461,1.58939,1.52436,0.42381,0.58653,0.46745,0.29976,1.19804,1.51719,1.61826,0.000416175,0.000416175,0.000416175
29,3950.56,1.21661,1.56929,1.4816,0.47717,0.58117,0.47964,0.30064,1.27404,1.54005,1.65417,0.000410262,0.000410262,0.000410262
30,4087.55,1.22145,1.54671,1.50147,0.54034,0.65044,0.54248,0.35032,1.18301,1.43704,1.62002,0.000404194,0.000404194,0.000404194
31,4223.27,1.20142,1.56024,1.48518,0.56615,0.54409,0.51252,0.3116,1.26196,1.4418,1.67396,0.000397977,0.000397977,0.000397977
32,4359.49,1.18876,1.49093,1.45622,0.56905,0.60594,0.52665,0.32495,1.21984,1.43293,1.64372,0.000391616,0.000391616,0.000391616
33,4490.7,1.18944,1.49785,1.46197,0.43973,0.62942,0.51939,0.32552,1.22486,1.44875,1.62985,0.000385117,0.000385117,0.000385117
34,4621.89,1.21609,1.55035,1.51733,0.45509,0.62245,0.51228,0.29914,1.38384,1.49819,1.76934,0.000378488,0.000378488,0.000378488
35,4757.25,1.19195,1.46383,1.46504,0.50314,0.61752,0.52176,0.33573,1.24025,1.44383,1.65225,0.000371734,0.000371734,0.000371734
36,4892.96,1.17221,1.45025,1.45204,0.47734,0.61997,0.5047,0.31546,1.24329,1.44325,1.63797,0.000364863,0.000364863,0.000364863
37,5029.9,1.18062,1.46487,1.4704,0.49524,0.62956,0.52037,0.33095,1.14521,1.44143,1.61755,0.00035788,0.00035788,0.00035788
38,5165.7,1.17559,1.4436,1.4665,0.51276,0.52722,0.50258,0.32459,1.19311,1.44871,1.59606,0.000350794,0.000350794,0.000350794
39,5300.59,1.16522,1.44191,1.42376,0.61735,0.54801,0.55524,0.35487,1.17558,1.40234,1.59696,0.000343611,0.000343611,0.000343611
40,5438.73,1.15146,1.4444,1.44086,0.52567,0.5845,0.57999,0.36987,1.22585,1.39357,1.64691,0.000336338,0.000336338,0.000336338
41,5575.14,1.15763,1.44185,1.45418,0.59808,0.54809,0.55692,0.33452,1.31109,1.47281,1.68906,0.000328982,0.000328982,0.000328982
42,5711.73,1.13617,1.40563,1.41957,0.68399,0.53844,0.57968,0.35003,1.23263,1.36873,1.65813,0.00032155,0.00032155,0.00032155
43,5847.67,1.13575,1.4345,1.41866,0.65522,0.60869,0.58741,0.38273,1.15483,1.34185,1.61253,0.000314051,0.000314051,0.000314051
44,5985.13,1.13174,1.37959,1.40426,0.58706,0.59449,0.58674,0.38748,1.14679,1.38184,1.59971,0.00030649,0.00030649,0.00030649
45,6122.58,1.10422,1.35617,1.42146,0.56377,0.60024,0.5866,0.38903,1.13724,1.38259,1.60092,0.000298877,0.000298877,0.000298877
46,6259.89,1.12137,1.37656,1.40864,0.59144,0.6096,0.56922,0.36488,1.16382,1.39963,1.6097,0.000291218,0.000291218,0.000291218
47,6395.8,1.12747,1.38275,1.40129,0.58642,0.6164,0.62206,0.41247,1.17073,1.38701,1.57783,0.00028352,0.00028352,0.00028352
48,6532.12,1.10219,1.37025,1.38837,0.63359,0.57208,0.58423,0.38365,1.14364,1.37874,1.57297,0.000275792,0.000275792,0.000275792
49,6668.69,1.09103,1.34498,1.38707,0.62571,0.54476,0.56788,0.36883,1.17205,1.37803,1.60366,0.000268041,0.000268041,0.000268041
50,6799.86,1.10356,1.3527,1.40489,0.57472,0.647,0.60592,0.39465,1.18305,1.37516,1.59867,0.000260274,0.000260274,0.000260274
51,6935.38,1.10318,1.36375,1.41015,0.65046,0.60006,0.63546,0.42513,1.13519,1.26209,1.5781,0.0002525,0.0002525,0.0002525
52,7071.78,1.10353,1.34709,1.38908,0.53224,0.66579,0.63237,0.41283,1.18048,1.31301,1.60617,0.000244726,0.000244726,0.000244726
53,7207.47,1.08271,1.29759,1.3907,0.58028,0.67248,0.62397,0.39411,1.19663,1.39355,1.62253,0.000236959,0.000236959,0.000236959
54,7339.74,1.08249,1.32755,1.38331,0.62831,0.62749,0.64005,0.40759,1.12533,1.30478,1.58631,0.000229208,0.000229208,0.000229208
55,7475.78,1.07715,1.32972,1.38528,0.60561,0.5898,0.62003,0.40564,1.12461,1.3139,1.57319,0.00022148,0.00022148,0.00022148
56,7610.72,1.07843,1.32585,1.40051,0.61051,0.59334,0.60934,0.39596,1.13018,1.34244,1.58918,0.000213782,0.000213782,0.000213782
57,7746.14,1.07201,1.29697,1.38492,0.57898,0.67373,0.62623,0.40704,1.1429,1.29167,1.59544,0.000206123,0.000206123,0.000206123
58,7881.36,1.05526,1.269,1.3792,0.52802,0.60479,0.61125,0.40675,1.11213,1.32129,1.57927,0.00019851,0.00019851,0.00019851
59,8016.58,1.04677,1.28217,1.35808,0.57495,0.65058,0.61487,0.40669,1.11291,1.3167,1.57357,0.000190949,0.000190949,0.000190949
60,8150.11,1.06963,1.27102,1.35228,0.60879,0.6365,0.62968,0.41291,1.14606,1.31915,1.57653,0.00018345,0.00018345,0.00018345
61,8283.27,1.04933,1.25458,1.37999,0.58365,0.66783,0.64657,0.41974,1.15108,1.30072,1.57355,0.000176018,0.000176018,0.000176018
62,8418.37,1.03373,1.26417,1.38179,0.59375,0.63125,0.59894,0.39615,1.11936,1.30024,1.59154,0.000168662,0.000168662,0.000168662
63,8553.51,1.05062,1.25432,1.37782,0.70154,0.54356,0.63376,0.41242,1.14556,1.3256,1.62498,0.000161389,0.000161389,0.000161389
64,8688.83,1.06415,1.25393,1.38777,0.51718,0.65997,0.62738,0.42139,1.09572,1.27168,1.58283,0.000154206,0.000154206,0.000154206
65,8824.02,1.02321,1.21527,1.34321,0.5898,0.62116,0.65434,0.4291,1.15896,1.26682,1.617,0.00014712,0.00014712,0.00014712
66,8960.45,1.03614,1.21575,1.35415,0.64173,0.61314,0.6321,0.41732,1.10853,1.2753,1.59363,0.000140137,0.000140137,0.000140137
